City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,72.23,clear sky,32.67,-17.1,Hotel do Campo
2,Avarua,CK,73.45,overcast clouds,-21.21,-159.78,Paradise Inn
3,Pangkalanbuun,ID,72.77,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
4,Fort Nelson,CA,67.62,light rain,58.81,-122.7,The Fort Nelson Hotel
5,Morondava,MG,71.89,clear sky,-20.28,44.28,La Case Bambou
8,Castro,BR,66.87,overcast clouds,-24.79,-50.01,CHACARA BAILLY
11,Salisbury,GB,68.45,broken clouds,51.07,-1.8,Mercure Salisbury White Hart Hotel
12,Novorudnyy,RU,65.19,broken clouds,51.5,58.19,Novorudnyi
13,Ambilobe,MG,65.35,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
14,Saint-Philippe,RE,69.39,light rain,-21.36,55.77,Le four à pain
16,Arshan,RU,62.98,scattered clouds,46.27,44.22,Guest House The Green Village
21,Dudinka,RU,67.62,broken clouds,69.41,86.18,Hotel Viktoria
28,Maamba,ZM,63.21,clear sky,-17.37,27.15,
29,Lata,PT,67.84,clear sky,40.16,-8.33,Casa Maquia
33,Villablino,ES,64.83,clear sky,42.94,-6.32,Hotel La Brañina
34,Hovd,MN,60.01,clear sky,48.01,91.64,Hotel Khovd
35,Rikitea,PF,72.25,clear sky,-23.12,-134.97,People ThankYou
37,Pacific Grove,US,67.01,scattered clouds,36.62,-121.92,Lovers Point Inn
39,Xichang,CN,62.67,overcast clouds,27.9,102.26,Xichang ibis Hotel
42,Cidreira,BR,63.21,scattered clouds,-30.18,-50.21,Hotel Castelo
45,Chuy,UY,63.05,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
46,Vaini,TO,71.58,overcast clouds,-21.2,-175.2,Keleti Beach Resort
49,Mutsu,JP,67.68,light rain,41.29,141.22,Mutsu Park Hotel
50,Ponta Delgada,PT,72.32,broken clouds,37.73,-25.67,Vila Nova Hotel
54,Sechura,PE,73.78,few clouds,-5.56,-80.82,Hospedaje Costa Bella
60,Nhulunbuy,AU,66.81,overcast clouds,-12.23,136.77,East Arnhem Real Estate
63,San Quintin,MX,71.92,scattered clouds,30.48,-115.95,Don Eddie's Sport Fishing Center
67,Sestroretsk,RU,68.14,clear sky,60.1,29.96,"Zagorodnyy Klub ""Skandinaviya"" I Spa"
72,Arraial Do Cabo,BR,72.46,clear sky,-22.97,-42.03,Pousada Porto Praia
85,Tura,IN,74.07,moderate rain,25.52,90.22,Hotel RIKMAN Continental
88,Yellowknife,CA,68.56,broken clouds,62.46,-114.35,The Explorer Hotel
89,Namibe,AO,63.91,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
97,Nikolskoye,RU,67.91,few clouds,59.7,30.79,Tourist House - Sablino
100,Margate,GB,70.7,overcast clouds,51.38,1.39,Premier Inn Margate hotel
105,Ippy,CF,67.26,broken clouds,6.27,21.22,
106,Berdychiv,UA,67.46,clear sky,49.9,28.6,Кафе-готель Домашні страви
108,Northam,GB,66.38,overcast clouds,51.03,-4.22,Durrant House Hotel
109,Gondanglegi,ID,72.81,overcast clouds,-7.75,112.01,Hotel Mitra Inn
110,Bitam,GA,67.95,overcast clouds,2.08,11.5,Hôtel ROYAL
115,Buin,CL,72.43,scattered clouds,-33.73,-70.75,Paihuen
116,Quatre Cocos,MU,70.09,light rain,-20.21,57.76,Sunrise Attitude Hotel
121,Tsogni,GA,68.18,overcast clouds,-2.79,10.1,
124,Piterka,RU,66.54,overcast clouds,50.68,47.45,
126,Bambous Virieux,MU,70.16,scattered clouds,-20.34,57.76,Casa Tia Villa
127,Nagutskoye,RU,64.62,broken clouds,44.44,42.88,
129,San Jeronimo,PE,65.68,overcast clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
130,Thompson,CA,64.56,broken clouds,55.74,-97.86,Burntwood Hotel
135,Nampula,MZ,67.95,few clouds,-15.12,39.27,Tacab Residencial
139,Mahebourg,MU,70.25,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
140,Vrangel,RU,62.85,overcast clouds,42.73,133.08,"Отель ""БАЛИ"""
141,Domoni,KM,74.3,broken clouds,-12.26,44.53,Loulou
143,Alyangula,AU,65.41,few clouds,-13.85,136.42,Groote Eylandt Lodge
146,Marawi,PH,69.1,light rain,8.0,124.29,Derogongan Residence
153,Loubomo,CG,71.1,overcast clouds,-4.2,12.67,La Dolisienne
154,Vila Franca Do Campo,PT,72.01,overcast clouds,37.72,-25.43,Pestana Bahia Praia
156,Diego De Almagro,CL,70.03,few clouds,-26.37,-70.05,hotel luna del desierto
159,Aksay,RU,70.25,clear sky,47.26,39.87,Chernaya Zhemchuzhina
