City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Egvekinot,RU,2022-07-21 23:29:45,66.3167,-179.1667,45.23,52,85,10.69
1,Punta Arenas,CL,2022-07-21 23:28:44,-53.15,-70.9167,32.11,93,20,20.71
2,Saldanha,ZA,2022-07-21 23:29:45,-33.0117,17.9442,42.85,81,99,10.38
3,Vao,NC,2022-07-21 23:29:33,-22.6667,167.4833,73.63,90,46,19.51
4,Qaanaaq,GL,2022-07-21 23:29:46,77.484,-69.3632,43.75,91,100,10.49
5,Shimoda,JP,2022-07-21 23:26:50,34.6667,138.95,84.56,85,7,10.63
6,Celestun,MX,2022-07-21 23:29:46,20.8667,-90.4,85.01,72,3,17.02
7,Chokurdakh,RU,2022-07-21 23:29:47,70.6333,147.9167,53.56,35,0,8.86
8,Jagtial,IN,2022-07-21 23:29:47,18.8,78.9333,76.48,88,100,4.99
9,Bluff,NZ,2022-07-21 23:29:47,-46.6,168.3333,43.81,81,90,8.12
10,Yellowknife,CA,2022-07-21 23:29:12,62.456,-114.3525,68.52,40,75,6.91
11,Mataura,NZ,2022-07-21 23:28:40,-46.1927,168.8643,43.48,94,100,0.98
12,Rikitea,PF,2022-07-21 23:29:10,-23.1203,-134.9692,74.1,80,94,23.02
13,Bredasdorp,ZA,2022-07-21 23:26:29,-34.5322,20.0403,47.19,88,100,3.65
14,Tahoua,NE,2022-07-21 23:29:48,14.8888,5.2692,83.61,55,50,7.65
15,Barrow,US,2022-07-21 23:29:49,71.2906,-156.7887,46.42,76,20,26.46
16,New Norfolk,AU,2022-07-21 23:26:58,-42.7826,147.0587,47.91,81,2,3.06
17,Usiacuri,CO,2022-07-21 23:29:49,10.75,-74.9833,81.12,84,96,6.22
18,Wasilla,US,2022-07-21 23:25:04,61.5814,-149.4394,60.06,74,75,11.5
19,Awjilah,LY,2022-07-21 23:29:50,29.1081,21.2869,77.95,49,0,14.34
20,Riviere-Au-Renard,CA,2022-07-21 23:29:50,48.9957,-64.3971,68.29,85,95,13.15
21,Saint-Philippe,RE,2022-07-21 23:25:37,-21.3585,55.7679,66.22,79,52,12.62
22,Saskylakh,RU,2022-07-21 23:29:50,71.9167,114.0833,50.92,65,100,7.29
23,Puerto Ayora,EC,2022-07-21 23:27:48,-0.7393,-90.3518,75.16,93,53,5.99
24,Albany,US,2022-07-21 23:28:58,42.6001,-73.9662,90.01,49,20,10.76
25,Provideniya,RU,2022-07-21 23:29:20,64.3833,-173.3,42.91,87,100,22.37
26,Castro,BR,2022-07-21 23:25:35,-24.7911,-50.0119,59.68,83,57,2.64
27,Tiksi,RU,2022-07-21 23:26:53,71.6872,128.8694,42.06,81,91,8.39
28,Sudak,UA,2022-07-21 23:29:52,44.85,34.9667,69.55,53,1,9.17
29,San Quintin,MX,2022-07-21 23:29:11,30.4833,-115.95,73.53,68,100,13.42
30,Houston,US,2022-07-21 23:26:35,29.7633,-95.3633,100.42,55,0,21.85
31,Massakory,TD,2022-07-21 23:29:53,12.996,15.7293,85.01,63,59,3.2
32,Nikolskoye,RU,2022-07-21 23:29:53,59.7035,30.7861,65.88,89,0,3.09
33,Kumbo,CM,2022-07-21 23:29:53,6.2,10.6667,59.95,98,100,2.55
34,Stornoway,GB,2022-07-21 23:29:54,58.2093,-6.3865,54.93,88,75,4.61
35,Pignon,HT,2022-07-21 23:29:54,19.3333,-72.1167,79.52,79,55,6.73
36,Ushuaia,AR,2022-07-21 23:25:31,-54.8,-68.3,31.66,86,75,28.77
37,Tuktoyaktuk,CA,2022-07-21 23:29:14,69.4541,-133.0374,57.2,88,75,6.91
38,Tasiilaq,GL,2022-07-21 23:29:55,65.6145,-37.6368,37.56,78,84,3.15
39,Fortuna,US,2022-07-21 23:29:55,40.5982,-124.1573,68.94,73,41,5.99
40,Atar,MR,2022-07-21 23:29:55,20.5169,-13.0499,92.8,34,5,5.44
41,Leningradskiy,RU,2022-07-21 23:26:52,69.3833,178.4167,35.96,99,100,8.21
42,Diffa,NE,2022-07-21 23:29:56,13.3154,12.6113,81.19,60,77,5.91
43,Busselton,AU,2022-07-21 23:29:56,-33.65,115.3333,58.48,79,71,9.19
44,Cape Town,ZA,2022-07-21 23:25:12,-33.9258,18.4232,58.37,81,20,1.99
45,Nouakchott,MR,2022-07-21 23:29:57,18.0858,-15.9785,78.73,81,12,12.03
46,Bogovarovo,RU,2022-07-21 23:30:57,58.9785,47.0246,54.75,95,67,2.82
47,Dikson,RU,2022-07-21 23:28:09,73.5069,80.5464,43.18,93,100,15.77
48,Nhulunbuy,AU,2022-07-21 23:30:58,-12.2333,136.7667,77.61,44,57,11.5
49,Lata,PT,2022-07-21 23:30:58,40.1629,-8.3327,58.32,94,36,2.42
50,Avarua,CK,2022-07-21 23:29:13,-21.2078,-159.775,75.25,73,75,16.11
51,Grand-Lahou,CI,2022-07-21 23:30:58,5.1367,-5.0242,73.45,76,67,6.78
52,Sovetskiy,RU,2022-07-21 23:30:59,61.3614,63.5842,54.81,78,65,4.12
53,San Vito,CR,2022-07-21 23:30:59,8.8208,-82.9709,65.86,97,100,0.51
54,Saint George,US,2022-07-21 23:31:00,37.1041,-113.5841,111.63,11,0,24.16
55,Alugan,PH,2022-07-21 23:31:00,12.2188,125.4808,83.71,79,100,8.5
56,Nishihara,JP,2022-07-21 23:31:00,26.1842,127.7558,85.66,89,20,16.11
57,Vila,PT,2022-07-21 23:31:00,42.0304,-8.1588,63.7,78,54,5.08
58,Chuy,UY,2022-07-21 23:31:01,-33.6971,-53.4616,51.89,88,93,6.93
59,Faanui,PF,2022-07-21 23:31:01,-16.4833,-151.75,77.27,73,13,10.87
60,Bambous Virieux,MU,2022-07-21 23:26:52,-20.3428,57.7575,70.21,77,40,11.5
61,San Andres,CO,2022-07-21 23:31:02,12.5847,-81.7006,78.82,94,75,10.36
62,Hermanus,ZA,2022-07-21 23:31:02,-34.4187,19.2345,44.8,74,100,4.94
63,Mutsu,JP,2022-07-21 23:31:03,41.2894,141.2169,73.51,78,100,8.77
64,Xichang,CN,2022-07-21 23:31:03,27.8964,102.2634,67.01,91,100,0.85
65,Hilo,US,2022-07-21 23:31:03,19.7297,-155.09,84.27,89,100,6.91
66,Cabo San Lucas,MX,2022-07-21 23:26:48,22.8909,-109.9124,98.19,40,0,10.36
67,Rio Verde De Mato Grosso,BR,2022-07-21 23:31:04,-18.9181,-54.8442,75.58,31,29,3.42
68,Rawson,AR,2022-07-21 23:30:59,-43.3002,-65.1023,44.35,47,100,12.93
69,Khatanga,RU,2022-07-21 23:31:04,71.9667,102.5,54.39,73,100,13.49
70,Dali,CN,2022-07-21 23:31:05,25.7,100.1833,64.26,88,95,1.88
71,Ontario,US,2022-07-21 23:30:03,34.0633,-117.6509,105.39,31,40,17.27
72,Flores,GT,2022-07-21 23:31:05,16.9226,-89.8994,84.79,61,91,4.72
73,Thompson,CA,2022-07-21 23:31:05,55.7435,-97.8558,68.16,64,75,8.05
74,Kysyl-Syr,RU,2022-07-21 23:31:06,63.8986,122.7617,60.06,90,99,7.16
